Formula,FW,DSSTox_CID,SR-HSE,ID,ROMol,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD,SMILES
C22H28F2O5,410.4515,25365,0,NCGC00021761-05,<rdkit.Chem.rdchem.Mol object at 0x13009ac00>,,0,,,,,,,,,,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
C21H30O5,362.4599,714,0,NCGC00022848-17,<rdkit.Chem.rdchem.Mol object at 0x13009ac70>,,0,,,,,,,,,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
C21H29FO5,380.4504,3061,0,NCGC00274078-01,<rdkit.Chem.rdchem.Mol object at 0x13009ace0>,,0,,,,,,,,,,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
C22H30O5,374.4706,3300,0,NCGC00022735-06,<rdkit.Chem.rdchem.Mol object at 0x13009ad50>,,0,,,,,,,,,,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
C21H27FO5,378.4345,26067,0,NCGC00159474-03,<rdkit.Chem.rdchem.Mol object at 0x13009adc0>,,0,,,,,,,,,,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
C21H28O5,360.4440,1184,0,NCGC00179649-06,<rdkit.Chem.rdchem.Mol object at 0x13009ae30>,,0,,,,,,,,,,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
C25H36O6,432.5497,25896,0,NCGC00274077-01,<rdkit.Chem.rdchem.Mol object at 0x13009aea0>,,0,,,,,,,,,,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
C26H38O6,446.5763,25633,0,NCGC00024016-03,<rdkit.Chem.rdchem.Mol object at 0x13009af10>,,0,,,,,,,,,,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
C24H33FO6,436.5136,27434,0,NCGC00023234-05,<rdkit.Chem.rdchem.Mol object at 0x13009af80>,,0,,,,,,,,,,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
C24H30F2O6,452.4882,20674,0,NCGC00021301-06,<rdkit.Chem.rdchem.Mol object at 0x13009aff0>,,0,,,,,,,,,,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
C21H30O4,346.4605,2474,0,NCGC00022472-10,<rdkit.Chem.rdchem.Mol object at 0x13009b060>,,0,,,,,,,,,,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
C17H20N2O2,284.3529,25220,0,NCGC00016065-11,<rdkit.Chem.rdchem.Mol object at 0x13009b0d0>,,0,,,,,,,,,,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
C10H15N5O3,253.2578,26491,0,NCGC00263533-01,<rdkit.Chem.rdchem.Mol object at 0x13009b140>,,0,,,,,,,,,,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
C9H13N5O4,255.2306,21032,0,NCGC00015471-08,<rdkit.Chem.rdchem.Mol object at 0x13009b1b0>,,0,,,,,,,,,,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
C4H11NO3,121.1350,3723,0,NCGC00159412-04,<rdkit.Chem.rdchem.Mol object at 0x13009b220>,,0,,,,,,,,,,NC(CO)(CO)CO
C19H24N2O6,376.4037 (121.1350+255.2686),25597,0,NCGC00185990-04,<rdkit.Chem.rdchem.Mol object at 0x13009b290>,,0,,,,,,,,,,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O
C10H14N4O4,254.2426,2975,0,NCGC00018099-09,<rdkit.Chem.rdchem.Mol object at 0x13009b300>,,0,,,,,,,,,,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
C35H44I6N6O15,1550.1819,25523,0,NCGC00179408-03,<rdkit.Chem.rdchem.Mol object at 0x13009b370>,,0,,,,,,,,,,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
C18H24I3N3O8,791.1119,28643,0,NCGC00182070-03,<rdkit.Chem.rdchem.Mol object at 0x13009b3e0>,,1,,,,,,,,,,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
C18H24I3N3O9,807.1113,25521,0,NCGC00179364-03,<rdkit.Chem.rdchem.Mol object at 0x13009b450>,,0,,,,,,,,,,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
C7H12O4,160.1678,31570,0,NCGC00262962-01,<rdkit.Chem.rdchem.Mol object at 0x13009b4c0>,,0,,,,,,,,,,C=C(C)C(=O)OCC(O)CO
C11H22O4,218.2900,22006,0,NCGC00166144-03,<rdkit.Chem.rdchem.Mol object at 0x13009b530>,,0,,,,,,,,,,CCCCCCCC(=O)OCC(O)CO
C10H14O3,182.2164,3254,0,NCGC00094908-06,<rdkit.Chem.rdchem.Mol object at 0x13009b5a0>,,0,,,,,,,,,,Cc1ccccc1OCC(O)CO
C10H14O4,198.2158,3114,0,NCGC00094689-06,<rdkit.Chem.rdchem.Mol object at 0x13009b610>,,0,,,,,,,,,,COc1ccccc1OCC(O)CO
C3H8O2S,108.1594,26512,0,NCGC00165973-02,<rdkit.Chem.rdchem.Mol object at 0x13009b680>,,0,,,,,,,,,,OCC(O)CS
C13H21NO3,239.3107,1255,0,NCGC00015955-16,<rdkit.Chem.rdchem.Mol object at 0x13009b6f0>,,0,,,,,,,,,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
C7H6Cl2O,177.0279,21362,0,NCGC00181337-03,<rdkit.Chem.rdchem.Mol object at 0x13009b760>,,0,,,,,,,,,,OCc1ccc(Cl)cc1Cl
C7H8O2,124.1372,25843,0,NCGC00094779-05,<rdkit.Chem.rdchem.Mol object at 0x13009b7d0>,,0,,,,,,,,,,OCc1ccccc1O
C6H7NO,109.1259,26531,0,NCGC00166075-02,<rdkit.Chem.rdchem.Mol object at 0x13009b840>,,1,,,,,,,,,,OCc1ccccn1
C6H7NO,109.1259,3367,0,NCGC00159400-07,<rdkit.Chem.rdchem.Mol object at 0x13009b8b0>,,0,,,,,,,,,,OCc1cccnc1
C25H43NO18,645.6048,26034,0,NCGC00160515-02,<rdkit.Chem.rdchem.Mol object at 0x13009b920>,,0,,,,,,,,,,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
C22H23ClN6O,422.9106,3227,0,NCGC00095125-05,<rdkit.Chem.rdchem.Mol object at 0x13009b990>,,0,,,,,,,,,,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
C9H12O,136.1910,21638,0,NCGC00165987-03,<rdkit.Chem.rdchem.Mol object at 0x13009ba00>,,0,,,,,,,,,,OCCCc1ccccc1
C6H13NO3S,179.2373,26440,0,NCGC00164556-02,<rdkit.Chem.rdchem.Mol object at 0x13009ba70>,,0,,,,,,,,,,N[C@@H](CSCCCO)C(=O)O
C8H17NO5,207.2243,3323,0,NCGC00270540-02,<rdkit.Chem.rdchem.Mol object at 0x13009bae0>,,0,,,,,,,,,,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
C11H13NO2,191.2264,26404,0,NCGC00164510-02,<rdkit.Chem.rdchem.Mol object at 0x13009bb50>,,0,,,,,,,,,,O=C(/C=C/c1ccccc1)NCCO
C12H13N3O4,263.2493,20726,0,NCGC00164265-02,<rdkit.Chem.rdchem.Mol object at 0x13009bbc0>,,0,,,,,,,,,,Cc1c(C(=O)NCCO)[n+]([O-])c2ccccc2[n+]1[O-]
C8H10O2,138.1638,1976,0,NCGC00090731-08,<rdkit.Chem.rdchem.Mol object at 0x13009bc30>,,0,,,,,,,,,,OCCOc1ccccc1
C14H30O2,230.3868,5218,0,NCGC00274074-01,<rdkit.Chem.rdchem.Mol object at 0x13009bca0>,,0,,,,,,,,,,CCCCCCCCCCCCOCCO
C21H25N3O2S,383.5071,3546,0,NCGC00095911-06,<rdkit.Chem.rdchem.Mol object at 0x13009bd10>,,0,,,,,,,,,,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
C4H10O2S,122.1860,6878,0,NCGC00095074-05,<rdkit.Chem.rdchem.Mol object at 0x13009bd80>,,0,,,,,,,,,,OCCSCCO
C7H7O6P,218.1006,25394,0,NCGC00016668-06,<rdkit.Chem.rdchem.Mol object at 0x13009bdf0>,,0,,,,,,,,,,O=C(O)c1ccccc1OP(=O)(O)O
C16H15N2O6P,362.2739,24299,0,NCGC00249894-01,<rdkit.Chem.rdchem.Mol object at 0x13009be60>,,0,,,,,,,,,,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O
C5H15N2O3PS,214.2230,2585,0,NCGC00015073-05,<rdkit.Chem.rdchem.Mol object at 0x13009bed0>,,0,,,,,,,,,,NCCCNCCSP(=O)(O)O
C14H12O6S,308.3065,22436,0,NCGC00159404-04,<rdkit.Chem.rdchem.Mol object at 0x13009bf40>,,0,,,,,,,,,,COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O
C14H14N2O6S2,370.4008,4926,0,NCGC00164487-02,<rdkit.Chem.rdchem.Mol object at 0x1300bc040>,,0,,,,,,,,,,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
C6H13NO3S,179.2373,21809,0,NCGC00165999-03,<rdkit.Chem.rdchem.Mol object at 0x1300bc0b0>,,0,,,,,,,,,,O=S(=O)(O)NC1CCCCC1
C14H19NO4S,297.3700,26195,0,NCGC00160503-02,<rdkit.Chem.rdchem.Mol object at 0x1300bc120>,,0,,,,,,,,,,COc1cc(C(=S)N2CCOCC2)cc(OC)c1OC
C12H15NO3S,253.3174,26107,0,NCGC00160361-02,<rdkit.Chem.rdchem.Mol object at 0x1300bc190>,,0,,,,,,,,,,COc1cc(C(=S)N2CCOCC2)ccc1O
C7H10N2O2S,186.2315,2736,0,NCGC00016760-08,<rdkit.Chem.rdchem.Mol object at 0x1300bc200>,,0,,,,,,,,,,CCOC(=O)n1ccn(C)c1=S
C7H10N2OS,170.2321,1209,0,NCGC00016229-14,<rdkit.Chem.rdchem.Mol object at 0x1300bc270>,,0,,,,,,,,,,CCCc1cc(=O)[nH]c(=S)[nH]1
C4H6N2S,114.1688,820,0,NCGC00094721-07,<rdkit.Chem.rdchem.Mol object at 0x1300bc2e0>,,0,,,,,,,,,,Cn1cc[nH]c1=S
C6H5ClS,144.6219,31577,0,NCGC00253651-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc350>,,0,,,,,,,,,,Sc1ccccc1Cl
C11H16O,164.2441,212,,NCGC00259487-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc3c0>,0,,,,0,,,,,,,Cc1ccc(O)c(C(C)(C)C)c1
C17H38BrN,336.3943 (256.4898+79.9045),24367,,NCGC00166121-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc430>,0,,,0,,1,,,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
C20H14NO4,332.3289,25204,,NCGC00015959-03,<rdkit.Chem.rdchem.Mol object at 0x1300bc4a0>,0,,,1,1,,,,,,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
C11H18ClNO,215.7197 (36.4609+179.2588),25783,,NCGC00094121-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc510>,,,,,,0,,,0,0,,Cc1cccc(C)c1OCC(C)N.Cl
C23H26ClN,351.9122 (36.4609+315.4513),25860,,NCGC00094891-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc580>,0,,,,,1,,,,,0,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1.Cl
C28H34Cl2F2N2O,523.4852 (450.5633+36.4609+36.4609),22570,,NCGC00015300-05,<rdkit.Chem.rdchem.Mol object at 0x1300bc5f0>,0,,,0,0,,,,,,,Cl.Cl.Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
C6H5ClHgO,329.1463,22224,,NCGC00181158-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc660>,0,,,1,,,,,,,1,Oc1ccccc1[Hg]Cl
C17H36N2O,284.4805,24913,,NCGC00256156-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc6d0>,0,,,,0,,,,,0,,CCCCCCCCCCCC(=O)NCCCN(C)C
C27H33Cl2N5O4,562.4880 (530.4462+32.0419),28977,,NCGC00241107-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc740>,0,,,,,1,,,1,,,CO.COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
C27H54F6N2O4S2,648.8491 (368.7024+280.1467),27902,,NCGC00258157-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc7b0>,0,0,,,,,,,,,0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C28H31FN4O,458.5703,110,,NCGC00016913-08,<rdkit.Chem.rdchem.Mol object at 0x1300bc820>,0,,,0,,,,,,,0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
C16H19N3O5S,365.4042,17044,,NCGC00094586-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc890>,,,,,,0,,,0,0,,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
C21H38BrN,384.4371 (304.5326+79.9045),28624,,NCGC00164245-02,<rdkit.Chem.rdchem.Mol object at 0x1300bc900>,0,,1,0,,1,,,,,,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
C25H46ClN,396.0924 (360.6389+35.4535),21665,,NCGC00255704-01,<rdkit.Chem.rdchem.Mol object at 0x1300bc970>,0,,,,0,1,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C28H44ClNO2,462.1075 (426.6539+35.4535),15708,,NCGC00016789-03,<rdkit.Chem.rdchem.Mol object at 0x1300bc9e0>,0,,,0,,1,,,,,,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-]
C4H6HgO4,318.6780 (200.5889+59.0446+59.0446),22123,1,NCGC00255964-01,<rdkit.Chem.rdchem.Mol object at 0x1300bca50>,0,,,1,,,,,,,,CC(=O)[O-].CC(=O)[O-].[Hg+2]
C23H23IN2S2,518.4766 (391.5716+126.9050),2955,,NCGC00181104-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcac0>,0,,,,,1,,0,,,,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]
C13H17F3N4O4,350.2937,14210,,NCGC00254602-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcb30>,0,,,,,1,,,,0,,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
C28H39NO3S,469.6792 (298.4849+171.1942),26858,,NCGC00181122-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcba0>,0,,,0,,1,,,,,,CCCCCCCCCCCC[n+]1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)[O-])cc1
C20H35NOS,337.5630,25638,,NCGC00018301-02,<rdkit.Chem.rdchem.Mol object at 0x1300bcc10>,0,,,,0,,,0,,,,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
C26H30ClN3O6,515.9859 (479.5250+36.4609),26992,,NCGC00256289-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcc80>,0,,,0,,,,,0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
C21H27BrClFN2O2S,505.8717 (469.4107+36.4609),27381,,NCGC00254244-01,<rdkit.Chem.rdchem.Mol object at 0x1300bccf0>,0,,,,,,,,,0,1,CCCOc1sc(C(=O)N2CCC(c3cc(CN)ccc3F)CC2)c(C)c1Br.Cl
C22H31Cl2N7O5,544.4314 (36.4609+36.4609+471.5096),25861,,NCGC00094893-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcd60>,0,,,0,,,,,1,,,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1.Cl.Cl
C9H8Cl3NO2S,300.5893,243,1,NCGC00254676-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcdd0>,0,,,,,1,,,,,,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
C30H35NO3,457.6038,26844,,NCGC00181100-01,<rdkit.Chem.rdchem.Mol object at 0x1300bce40>,0,,,,0,,0,,,,,COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
C12H11N7,253.2626,1373,,NCGC00016016-10,<rdkit.Chem.rdchem.Mol object at 0x1300bceb0>,,,,,,0,0,,,0,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
C10H7NO2,173.1681,21274,1,NCGC00254580-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcf20>,0,,,,0,,,,,,,O=C1C=CC(=O)N1c1ccccc1
C44H32N4O4,680.7493,28545,,NCGC00183015-01,<rdkit.Chem.rdchem.Mol object at 0x1300bcf90>,0,,,0,0,,,,,,,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
C27H50ClN,424.1456 (388.6921+35.4535),5139,,NCGC00257973-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd000>,0,,,,0,1,,,,,,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14H6N2O8,330.2060,5076,,NCGC00258279-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd070>,0,1,,,,1,,,,,,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
C56H81NO15,1008.2400 (887.1261+121.1139),14566,,NCGC00254691-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd0e0>,0,,,,0,1,,,,,,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C([O-])c1ccccc1
C20H8Br4O5,647.8905,24590,,NCGC00255782-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd150>,0,,0,,0,,,,,0,,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br
C15H24O,220.3505,21502,,NCGC00255488-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd1c0>,0,,,,0,1,,,,,,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C
C26H38O2,382.5787,9602,1,NCGC00258303-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd230>,0,,,,,1,,,,,,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
C25H36O2,368.5521,18864,,NCGC00257360-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd2a0>,0,,,,0,1,,,,,,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
C22H30O2S,358.5374,1341,1,NCGC00258575-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd310>,0,,,,,1,,,,,,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
C18H24N2,268.3966,5114,,NCGC00258444-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd380>,0,,,0,,,,,,0,,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
C20H28O,284.4357,5998,,NCGC00258558-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd3f0>,0,,,1,0,,,,,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
C26H33NO2,391.5457,12005,,NCGC00258542-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd460>,0,,,,0,1,,,,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
C21H26O2,310.4299,28922,,NCGC00168261-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd4d0>,0,,,,1,1,,,,,,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
C25H24F6N4,494.4753,3868,,NCGC00257010-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd540>,0,,,,1,,1,,,,,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
C22H26ClN7O2S,488.0055,20979,,NCGC00181129-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd5b0>,0,,,0,,,,,0,,,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
C20H24ClN,313.8643 (277.4033+36.4609),24507,,NCGC00254894-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd620>,0,,,,0,,,,,0,,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
C27H32ClNO2,438.0015,26507,,NCGC00165907-02,<rdkit.Chem.rdchem.Mol object at 0x1300bd690>,0,,,0,,,,,,,0,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
C28H29F2N3O,461.5462,3474,,NCGC00255294-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd700>,0,,,0,0,,,,,,,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
C32H37NO8,563.6381 (371.5146+192.1235),1301,,NCGC00259619-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd770>,0,,1,1,0,,,,,,,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
C26H21N3O4,439.4626,26778,,NCGC00168772-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd7e0>,0,,1,,,1,,,1,,,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
C21H38BrN,384.4371 (304.5326+79.9045),13307,,NCGC00257401-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd850>,0,1,1,,0,,,,,,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
C27H42ClNO2,448.0809 (412.6273+35.4535),3810,,NCGC00260037-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd8c0>,0,1,,,,1,,,,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
C22H20BrN5O4,498.3293,28493,,NCGC00257257-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd930>,0,,,,,,,,1,,0,CN1C(=O)N(c2ccccc2Br)Cc2cnc(Nc3ccc4c(c3)OCC(CO)O4)nc21
C56H92O29,1229.3123,5065,,NCGC00260056-01,<rdkit.Chem.rdchem.Mol object at 0x1300bd9a0>,0,,,1,,,,,,1,,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
C20H34AuO9PS,678.4839,115,,NCGC00160391-01,<rdkit.Chem.rdchem.Mol object at 0x1300bda10>,0,,,1,,,,,,1,,CCP(CC)(CC)=[Au]S[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
C37H53NO8,639.8186,17577,,NCGC00182083-02,<rdkit.Chem.rdchem.Mol object at 0x1300bda80>,0,,0,,0,,,,,0,,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
C27H34N2O4S,482.6349 (97.0711+385.5638),28626,,NCGC00166123-01,<rdkit.Chem.rdchem.Mol object at 0x1300bdaf0>,0,,,,,1,,,,1,,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O
C26H38Cl2N10O4,625.5505 (505.4466+60.0520+60.0520),12345,,NCGC00255277-01,<rdkit.Chem.rdchem.Mol object at 0x1300bdb60>,0,1,,0,,,,,,,,CC(=O)O.CC(=O)O.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
C7HCl2F3N2O4,304.9950,24639,,NCGC00256855-01,<rdkit.Chem.rdchem.Mol object at 0x1300bdbd0>,0,,,,0,,,,,,0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl
C18H24N2O6,364.3930,20352,,NCGC00255514-01,<rdkit.Chem.rdchem.Mol object at 0x1300bdc40>,0,,,,0,1,,,,,,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
